"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"425","MI","Rescue",242.218395,"alternative","high",2.7584609879056
"426","MI","Rescue",242.218395,"alternative","low",1.3792304939528
"427","MI","Rescue",242.218395,"baseline","high",1.44918510064106
"428","MI","Rescue",242.218395,"baseline","low",0.724592550320528
"429","MI","Animal Feed",242.218395,"alternative","high",3.88532038159641
"430","MI","Animal Feed",242.218395,"alternative","low",1.94266019079821
"431","MI","Animal Feed",242.218395,"baseline","high",3.88532038159641
"432","MI","Animal Feed",242.218395,"baseline","low",1.94266019079821
"433","MI","Recycling",242.218395,"alternative","high",16.8687212988884
"434","MI","Recycling",242.218395,"alternative","low",8.43436064944419
"435","MI","Recycling",242.218395,"baseline","high",14.7533170316823
"436","MI","Recycling",242.218395,"baseline","low",7.37665851584114
"437","MI","All",242.218395,"alternative","high",24.1909341916562
"438","MI","All",242.218395,"alternative","low",12.0954670958281
"439","MI","All",242.218395,"baseline","high",20.3145709764265
"440","MI","All",242.218395,"baseline","low",10.1572854882132
"441","MN","Prevention",302.092605,"alternative","high",3.88992098936087
"442","MN","Prevention",302.092605,"alternative","low",1.94496049468043
"443","MN","Prevention",302.092605,"baseline","high",1.43161590528526
"444","MN","Prevention",302.092605,"baseline","low",0.715807952642628
